Ticker,Date,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Net Income From Continuing Operations,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Payables And Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Other Properties,Machinery Furniture Equipment,Land And Improvements,Properties,Current Assets,Other Current Assets,Inventory,Receivables,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
AAPL,2024-09-30,108807000000.0,-94949000000.0,-9958000000.0,0.0,,-9447000000.0,,26102000000.0,29943000000.0,30737000000.0,-794000000.0,-121983000000.0,-121983000000.0,-5802000000.0,-15234000000.0,-15234000000.0,-94949000000.0,-94949000000.0,,-5998000000.0,3960000000.0,-9958000000.0,-9958000000.0,0.0,2935000000.0,2935000000.0,-1308000000.0,13690000000.0,62346000000.0,-48656000000.0,,,-9447000000.0,-9447000000.0,118254000000.0,118254000000.0,3651000000.0,,15552000000.0,-11731000000.0,6020000000.0,6020000000.0,6020000000.0,-1046000000.0,-5144000000.0,-3788000000.0,-2266000000.0,11688000000.0,,,11445000000.0,11445000000.0,93736000000.0,,15116786000.0,15116786000.0,76686000000.0,106629000000.0,56950000000.0,163579000000.0,-23405000000.0,56950000000.0,,56950000000.0,142700000000.0,56950000000.0,56950000000.0,-7172000000.0,-7172000000.0,-19154000000.0,83276000000.0,83276000000.0,308030000000.0,131638000000.0,36634000000.0,9254000000.0,85750000000.0,,85750000000.0,176392000000.0,51703000000.0,8249000000.0,8249000000.0,20879000000.0,,20879000000.0,10912000000.0,9967000000.0,95561000000.0,95561000000.0,26601000000.0,26601000000.0,68960000000.0,364980000000.0,211993000000.0,55335000000.0,19499000000.0,19499000000.0,91479000000.0,,91479000000.0,91479000000.0,45680000000.0,-73448000000.0,119128000000.0,14233000000.0,,80205000000.0,24690000000.0,0.0,152987000000.0,14287000000.0,7286000000.0,66243000000.0,32833000000.0,33410000000.0,65171000000.0,35228000000.0,29943000000.0,2744000000.0,27199000000.0
AAPL,2023-09-30,99584000000.0,-77550000000.0,-11151000000.0,5228000000.0,,-10959000000.0,3803000000.0,18679000000.0,30737000000.0,24977000000.0,5760000000.0,-108488000000.0,-108488000000.0,-6012000000.0,-15025000000.0,-15025000000.0,-77550000000.0,-77550000000.0,,-9901000000.0,-3978000000.0,-5923000000.0,-11151000000.0,5228000000.0,3705000000.0,3705000000.0,-1337000000.0,16001000000.0,45514000000.0,-29513000000.0,,,-10959000000.0,-10959000000.0,110543000000.0,110543000000.0,-6577000000.0,,3031000000.0,-5684000000.0,-1889000000.0,-1889000000.0,-1889000000.0,-1618000000.0,-417000000.0,-1688000000.0,-2227000000.0,10833000000.0,,,11519000000.0,11519000000.0,96995000000.0,0.0,15550061000.0,15550061000.0,81123000000.0,111088000000.0,62146000000.0,173234000000.0,-1742000000.0,62146000000.0,12842000000.0,62146000000.0,157427000000.0,62146000000.0,62146000000.0,-11452000000.0,-11452000000.0,-214000000.0,73812000000.0,73812000000.0,290437000000.0,145129000000.0,34391000000.0,15457000000.0,95281000000.0,11267000000.0,95281000000.0,145308000000.0,50010000000.0,8061000000.0,8061000000.0,15807000000.0,1575000000.0,15807000000.0,9822000000.0,5985000000.0,71430000000.0,71430000000.0,8819000000.0,8819000000.0,62611000000.0,352583000000.0,209017000000.0,46906000000.0,17852000000.0,17852000000.0,100544000000.0,,100544000000.0,100544000000.0,43715000000.0,-70884000000.0,114599000000.0,12839000000.0,10661000000.0,78314000000.0,23446000000.0,0.0,143566000000.0,14695000000.0,6331000000.0,60985000000.0,31477000000.0,29508000000.0,61555000000.0,31590000000.0,29965000000.0,1606000000.0,28359000000.0
AAPL,2022-09-30,111443000000.0,-89402000000.0,-9543000000.0,5465000000.0,,-10708000000.0,2865000000.0,19573000000.0,24977000000.0,35929000000.0,-10952000000.0,-110749000000.0,-110749000000.0,-6383000000.0,-14841000000.0,-14841000000.0,-89402000000.0,-89402000000.0,,-123000000.0,3955000000.0,-4078000000.0,-9543000000.0,5465000000.0,-22354000000.0,-22354000000.0,-2086000000.0,-9560000000.0,67363000000.0,-76923000000.0,-306000000.0,-306000000.0,-10708000000.0,-10708000000.0,122151000000.0,122151000000.0,1200000000.0,478000000.0,6110000000.0,-6499000000.0,9448000000.0,9448000000.0,9448000000.0,1484000000.0,-9343000000.0,-1823000000.0,1006000000.0,9038000000.0,895000000.0,895000000.0,11104000000.0,11104000000.0,99803000000.0,,15943425000.0,15943425000.0,96423000000.0,132480000000.0,50672000000.0,170741000000.0,-18577000000.0,50672000000.0,12411000000.0,50672000000.0,149631000000.0,50672000000.0,50672000000.0,-11109000000.0,-11109000000.0,-3068000000.0,64849000000.0,64849000000.0,302083000000.0,148101000000.0,21737000000.0,16657000000.0,109707000000.0,10748000000.0,98959000000.0,153982000000.0,52630000000.0,7912000000.0,7912000000.0,22773000000.0,1663000000.0,21110000000.0,11128000000.0,9982000000.0,70667000000.0,70667000000.0,6552000000.0,6552000000.0,64115000000.0,352755000000.0,217350000000.0,39053000000.0,15375000000.0,15375000000.0,120805000000.0,120805000000.0,120805000000.0,120805000000.0,42117000000.0,-72340000000.0,114457000000.0,11271000000.0,10417000000.0,81060000000.0,22126000000.0,0.0,135405000000.0,21223000000.0,4946000000.0,60932000000.0,32748000000.0,28184000000.0,48304000000.0,24658000000.0,23646000000.0,5100000000.0,18546000000.0
AAPL,2021-09-30,92953000000.0,-85971000000.0,-8750000000.0,20393000000.0,1105000000.0,-11085000000.0,2687000000.0,25385000000.0,35929000000.0,39789000000.0,-3860000000.0,-93353000000.0,-93353000000.0,-5580000000.0,-14467000000.0,-14467000000.0,-85971000000.0,-85971000000.0,1105000000.0,12665000000.0,1022000000.0,11643000000.0,-8750000000.0,20393000000.0,-14545000000.0,-14545000000.0,-385000000.0,-3075000000.0,106483000000.0,-109558000000.0,-33000000.0,-33000000.0,-11085000000.0,-11085000000.0,104038000000.0,104038000000.0,-4911000000.0,1676000000.0,7475000000.0,-8042000000.0,12326000000.0,12326000000.0,12326000000.0,-2642000000.0,-14028000000.0,-10125000000.0,-4921000000.0,7906000000.0,-4774000000.0,-4774000000.0,11284000000.0,11284000000.0,94680000000.0,,16426786000.0,16426786000.0,89779000000.0,136522000000.0,63090000000.0,187809000000.0,9355000000.0,63090000000.0,11803000000.0,63090000000.0,172196000000.0,63090000000.0,63090000000.0,163000000.0,163000000.0,5562000000.0,57365000000.0,57365000000.0,287912000000.0,162431000000.0,18361000000.0,24689000000.0,119381000000.0,10275000000.0,109106000000.0,125481000000.0,45965000000.0,7612000000.0,7612000000.0,17141000000.0,1528000000.0,15613000000.0,9613000000.0,6000000000.0,54763000000.0,54763000000.0,,,54763000000.0,351002000000.0,216166000000.0,38762000000.0,,,127877000000.0,127877000000.0,127877000000.0,127877000000.0,49527000000.0,-70283000000.0,119810000000.0,11023000000.0,10087000000.0,78659000000.0,20041000000.0,0.0,134836000000.0,14111000000.0,6580000000.0,51506000000.0,25228000000.0,26278000000.0,62639000000.0,27699000000.0,34940000000.0,17635000000.0,17305000000.0
AAPL,2020-09-30,,,,,880000000.0,,3002000000.0,,,,,,,,,,,,880000000.0,,,,,,,,,,,,-1524000000.0,-1524000000.0,,,,,,2081000000.0,,,,,,,,,,,-215000000.0,-215000000.0,,,,,,,,,,,,,9842000000.0,,,,,,,,,,,,,,,8382000000.0,,,,,,,1460000000.0,,,,,,,,,,,,,,,100887000000.0,,,,,,,8570000000.0,,,,,,,,,,,,,,
